n,DistanceClass,DistanceM,r,U,L,P(r-rand >= r-data),P(r-rand <= r-data),Correction,r uc,U uc,L uc,MeanBootstrapR,Urerror,Lrerror,Ur,Lr
191,0.25,250,0.203,0.04,-0.027,0.001,1,0.019,0.185,0.022,-0.046,0.205,0.042,0.042,0.245,0.162
66,0.5,500,-0.045,0.054,-0.056,0.952,0.049,0.019,-0.064,0.035,-0.075,-0.046,0.043,0.052,-0.002,-0.097
160,0.75,750,-0.083,0.031,-0.039,1,0.001,0.019,-0.102,0.012,-0.058,-0.078,0.044,0.024,-0.039,-0.108
99,1,1000,0.087,0.042,-0.045,0.001,1,0.019,0.068,0.023,-0.064,0.088,0.034,0.031,0.121,0.056
239,1.25,1250,-0.045,0.026,-0.029,0.994,0.007,0.019,-0.063,0.007,-0.048,-0.044,0.028,0.027,-0.016,-0.072
71,1.5,1500,-0.144,0.052,-0.058,1,0.001,0.019,-0.162,0.033,-0.077,-0.144,0.029,0.034,-0.114,-0.177
14,1.75,1750,0.056,0.141,-0.12,0.192,0.809,0.019,0.037,0.122,-0.139,0.053,0.074,0.086,0.13,-0.03
17,2,2000,-0.206,0.119,-0.111,1,0.001,0.019,-0.225,0.1,-0.13,-0.205,0.06,0.047,-0.146,-0.253
14,2.25,2250,-0.19,0.114,-0.117,0.998,0.003,0.019,-0.209,0.095,-0.136,-0.19,0.072,0.076,-0.118,-0.266
4,2.5,2500,0.009,0.284,-0.203,0.458,0.543,0.019,-0.01,0.265,-0.222,,,,,
40,2.75,2750,-0.064,0.076,-0.078,0.952,0.049,0.019,-0.083,0.057,-0.097,-0.047,0.1,0.089,0.036,-0.153
33,3,3000,-0.072,0.085,-0.087,0.954,0.047,0.019,-0.09,0.066,-0.106,-0.072,0.099,0.093,0.027,-0.164
83,3.25,3250,-0.021,0.053,-0.051,0.821,0.18,0.019,-0.04,0.034,-0.07,-0.021,0.044,0.043,0.023,-0.064
126,3.5,3500,0.068,0.036,-0.041,0.002,0.999,0.019,0.049,0.017,-0.06,0.068,0.049,0.052,0.117,0.016
20,3.75,3750,-0.192,0.114,-0.109,0.998,0.003,0.019,-0.21,0.095,-0.127,-0.192,0.078,0.068,-0.113,-0.26
82,4,4000,-0.073,0.043,-0.051,0.993,0.008,0.019,-0.092,0.024,-0.07,-0.074,0.028,0.036,-0.046,-0.11
4,4.25,4250,-0.134,0.242,-0.221,0.872,0.129,0.019,-0.153,0.223,-0.24,0,0,0,0,0
4,4.5,4500,0.348,0.263,-0.197,0.01,0.991,0.019,0.329,0.244,-0.216,0,0,0,0,0
4,4.75,4750,-0.164,0.268,-0.227,0.915,0.086,0.019,-0.183,0.249,-0.246,0,0,0,0,0
36,5,5000,-0.118,0.077,-0.082,0.996,0.005,0.019,-0.137,0.058,-0.1,-0.118,0.083,0.061,-0.035,-0.179
36,5.25,5250,0.008,0.077,-0.082,0.434,0.567,0.019,-0.011,0.058,-0.1,0.013,0.088,0.075,0.096,-0.067
16,5.5,5500,0.171,0.126,-0.127,0.006,0.995,0.019,0.152,0.107,-0.146,0.176,0.160,0.119,0.331,0.052
68,5.75,5750,0.04,0.051,-0.054,0.055,0.946,0.019,0.021,0.032,-0.073,0.042,0.055,0.050,0.095,-0.010
0,6,6000,0.019,0.019,0.019,1,1,0.019,0,0,0,0,0,0,0,0
4,6.25,6250,-0.148,0.267,-0.216,0.894,0.107,0.019,-0.167,0.248,-0.235,0,0,0,0,0
0,6.5,6500,0.019,0.019,0.019,1,1,0.019,0,0,0,0,0,0,0,0
0,6.75,6750,0.019,0.019,0.019,1,1,0.019,0,0,0,0,0,0,0,0
0,7,7000,0.019,0.019,0.019,1,1,0.019,0,0,0,0,0,0,0,0
0,7.25,7250,0.019,0.019,0.019,1,1,0.019,0,0,0,0,0,0,0,0
0,7.5,7500,0.019,0.019,0.019,1,1,0.019,0,0,0,0,0,0,0,0
